category,oid
motosport,587551436
volleyball,502274308
martial_arts,70553008
autosport,32734003
football,119067016
autosport,555013438
volleyball,923012209
autosport,253041238
autosport,582543434
hockey,402635101
tennis,757687928
football,694334802
football,634077333
athletics,114597920
esport,320128527
hockey,347076136
martial_arts,105159200
hockey,487808124
athletics,940142725
extreme,759335729
autosport,169782234
martial_arts,976726439
football,528610528
volleyball,99316638
autosport,663177038
motosport,481791707
basketball,978152436
martial_arts,793498528
hockey,683004715
autosport,300698829
autosport,626724033
martial_arts,699404808
motosport,939038022
boardgames,209418931
motosport,891334035
basketball,281906302
tennis,291959212
esport,474818525
volleyball,254914715
martial_arts,470533206
boardgames,113480613
volleyball,466833200
volleyball,801282329
tennis,77263526
autosport,249356330
football,611696517
hockey,330126734
volleyball,411875725
autosport,663177038
autosport,137256429
basketball,615111916
tennis,341006523
autosport,38686015
tennis,692941415
tennis,454649416
athletics,328610001
martial_arts,675221606
martial_arts,395618404
extreme,257343433
motosport,610069617
motosport,949858220
volleyball,219391807
winter_sport,512892704
basketball,281906302
motosport,951953731
motosport,223866238
athletics,762195413
football,119067016
motosport,358997321
boardgames,588492128
winter_sport,502752932
tennis,246331928
volleyball,34632917
tennis,87954633
boardgames,311125219
volleyball,876929904
autosport,846438937
hockey,431515801
motosport,377199730
hockey,876642405
hockey,346300139
football,758155538
martial_arts,168872231
boardgames,850982633
volleyball,279774419
athletics,703540237
martial_arts,21713406
extreme,380924325
motosport,303714903
autosport,963404719
basketball,628940512
winter_sport,269135832
tennis,291959212
motosport,303858215
basketball,858270913
basketball,950046422
boardgames,344085216
hockey,937276635
hockey,125860219
tennis,271336732
motosport,126462019
football,619492408
volleyball,121966812
boardgames,300376018
winter_sport,718004107
hockey,716233230
volleyball,439607625
martial_arts,78410435
tennis,254489118
extreme,682407200
volleyball,834897309
autosport,401817323
autosport,32734003
hockey,359331738
motosport,156539705
basketball,794004500
tennis,23220639
tennis,552724006
basketball,772243338
tennis,539465706
motosport,946552139
winter_sport,869684202
boardgames,24530913
boardgames,571944417
tennis,672291907
athletics,950610502
basketball,148389602
hockey,330126734
basketball,890975533
extreme,335696332
basketball,541204520
athletics,910049717
hockey,568705033
athletics,424194001
football,36443103
volleyball,639255416
hockey,905699705
basketball,165536929
tennis,734773828
hockey,282161237
tennis,363280212
esport,144253338
extreme,85587732
boardgames,46396337
hockey,188914633
boardgames,831798502
autosport,738065626
autosport,28987600
autosport,687457825
boardgames,898943337
martial_arts,918780108
winter_sport,165303039
autosport,502126414
extreme,536016915
motosport,126462019
volleyball,934770635
tennis,180773232
basketball,950046422
athletics,893681523
football,306975214
basketball,286637611
athletics,762195413
hockey,402635101
tennis,871940439
motosport,137678818
motosport,584891828
athletics,510637726
volleyball,449704704
martial_arts,32860111
athletics,110973925
volleyball,901627909
tennis,711716415
tennis,381517915
martial_arts,358793829
athletics,938672803
basketball,194604309
boardgames,754799230
autosport,470130924
esport,963893835
esport,62850008
motosport,704972525
tennis,354880700
tennis,387687703
athletics,391708030
volleyball,503286621
hockey,691196826
hockey,401592234
motosport,959949902
basketball,381175229
hockey,64505925
winter_sport,194486402
autosport,884639615
autosport,942291028
football,757129532
boardgames,548889408
basketball,698146809
volleyball,409341814
motosport,988414209
football,360665210
winter_sport,929177628
tennis,392801401
esport,342217239
athletics,580543820
volleyball,748171722
autosport,92405418
tennis,759680207
hockey,559886937
martial_arts,248974925
basketball,442404133
basketball,120774419
volleyball,834897309
volleyball,930647729
extreme,621089234
volleyball,861225637
volleyball,573728221
winter_sport,985825903
motosport,699833027
basketball,595894929
boardgames,754130730
motosport,446372811
basketball,853318705
basketball,365639217
tennis,862074312
basketball,842595938
athletics,982942625
athletics,723736924
boardgames,311125219
motosport,841922601
basketball,372120119
autosport,733364110
winter_sport,388651911
martial_arts,927384902
esport,630923338
boardgames,742720004
motosport,567751832
martial_arts,205108616
extreme,8071108
motosport,780661336
volleyball,717515711
football,662150224
basketball,445858313
athletics,280458608
martial_arts,895783211
athletics,983658124
volleyball,723177305
motosport,946552139
basketball,8591509
tennis,438797216
motosport,673423735
hockey,59932732
basketball,227716111
winter_sport,12747705
athletics,557277126
athletics,581191034
boardgames,463889624
boardgames,120129717
basketball,613449708
extreme,686389628
martial_arts,451119206
tennis,954498427
athletics,77255925
volleyball,801282329
tennis,438797216
volleyball,178373718
football,810245338
extreme,821877603
volleyball,552093907
athletics,391708030
basketball,173808905
extreme,694176212
athletics,444009223
winter_sport,878785139
boardgames,178038606
football,881719908
boardgames,307022516
hockey,971344832
extreme,960682626
autosport,32712332
volleyball,624254822
volleyball,167479026
athletics,716730813
athletics,695058203
motosport,791826507
extreme,607849319
boardgames,350509934
basketball,794004500
esport,207891029
autosport,358893334
winter_sport,243150312
martial_arts,610608320
athletics,441983510
extreme,996141322
boardgames,5492000
tennis,709646319
autosport,890548501
volleyball,497868207
winter_sport,679839112
volleyball,882288416
motosport,446372811
basketball,327373427
tennis,230468518
volleyball,551269718
basketball,8591509
football,558167517
autosport,737153530
hockey,487808124
basketball,349384717
basketball,120774419
athletics,931808713
winter_sport,189202917
football,498073839
basketball,577870231
winter_sport,92620918
tennis,564459708
winter_sport,381979729
winter_sport,324896016
boardgames,976183800
motosport,481791707
boardgames,570742820
athletics,762195413
martial_arts,411869717
extreme,380924325
basketball,449702027
tennis,370655126
motosport,647706002
tennis,454649416
winter_sport,902512702
volleyball,568346001
volleyball,582387318
basketball,968492435
martial_arts,429186739
winter_sport,773806324
hockey,808599916
tennis,901046514
athletics,824729512
martial_arts,733716720
winter_sport,405617038
basketball,216695313
autosport,28987600
boardgames,188076806
tennis,354880700
motosport,252055117
volleyball,279774419
winter_sport,134189922
basketball,152217002
football,197131118
boardgames,152645515
football,403183304
hockey,120384031
motosport,640825236
hockey,885530530
extreme,882038106
tennis,291959212
winter_sport,502752932
boardgames,588492128
football,527137328
extreme,856701516
athletics,604360123
tennis,60377539
winter_sport,986936309
esport,415671629
tennis,883757433
tennis,815797438
martial_arts,367642407
winter_sport,864087326
winter_sport,679839112
autosport,514740421
tennis,152027915
basketball,369774809
athletics,384129821
basketball,159768514
boardgames,961334227
motosport,261262031
autosport,175060434
esport,920584035
tennis,230468518
tennis,999361308
basketball,692130106
athletics,695058203
winter_sport,357831525
volleyball,513724303
boardgames,608530528
winter_sport,779040219
hockey,461578519
football,93297629
motosport,850748314
basketball,841198827
autosport,249356330
basketball,809470704
winter_sport,327143311
martial_arts,193630610
football,183300802
volleyball,439735436
hockey,431515801
football,270174326
athletics,557277126
esport,544508231
athletics,57043301
hockey,518838020
athletics,91586935
martial_arts,688031531
motosport,791826507
martial_arts,793527036
basketball,729244921
winter_sport,129257723
volleyball,552093907
motosport,810672125
football,831430707
extreme,601670421
volleyball,356229300
tennis,776359438
athletics,332656608
autosport,189715923
tennis,11907137
athletics,723736924
winter_sport,779040219
volleyball,901627909
extreme,792960709
tennis,294997620
winter_sport,297310427
athletics,910049717
boardgames,700486922
martial_arts,343811314
athletics,729848700
esport,920584035
basketball,820117632
athletics,734592127
motosport,126462019
martial_arts,29843836
extreme,515359008
esport,868970032
football,788252431
extreme,686389628
football,324968820
athletics,723062002
extreme,321638212
motosport,517683527
extreme,996141322
basketball,704493238
boardgames,227173108
autosport,655829522
athletics,881759832
autosport,490784125
volleyball,750019213
autosport,545066315
autosport,617202308
boardgames,150654128
martial_arts,918645004
esport,247095126
athletics,723062002
winter_sport,345928610
volleyball,974417010
autosport,38686015
martial_arts,892988615
boardgames,633910216
athletics,544399530
athletics,510637726
athletics,623907520
volleyball,985913429
boardgames,733034205
extreme,965232823
martial_arts,287890211
football,608008318
winter_sport,8589632
tennis,466949309
autosport,846438937
athletics,164938627
tennis,969939508
boardgames,558456732
martial_arts,988540723
extreme,515359008
winter_sport,542055201
football,525872608
basketball,805618829
autosport,358893334
autosport,819595634
extreme,76441934
motosport,137678818
martial_arts,245680408
tennis,802894535
football,24580105
athletics,612806513
boardgames,227173108
boardgames,178038606
volleyball,279369911
winter_sport,222647821
autosport,175060434
extreme,75044739
motosport,710737629
martial_arts,165629003
hockey,236809623
volleyball,801282329
tennis,906862823
tennis,438797216
hockey,400493824
basketball,231379431
boardgames,8754004
football,973568134
autosport,242999722
motosport,676100714
motosport,593911217
tennis,71917426
extreme,697719516
hockey,461294623
basketball,449803432
martial_arts,549787313
martial_arts,185251920
basketball,595894929
winter_sport,269135832
boardgames,65417518
athletics,900952227
basketball,853318705
football,803373031
martial_arts,374976917
volleyball,697977732
athletics,681167633
winter_sport,759592926
basketball,583140311
tennis,128444506
winter_sport,31847117
football,810245338
boardgames,257167133
autosport,810354239
football,525872608
winter_sport,878785139
volleyball,215529508
hockey,742321024
esport,656137117
volleyball,552093907
volleyball,552093907
boardgames,588492128
autosport,696044911
tennis,683008120
basketball,627428414
boardgames,5492000
tennis,676067213
esport,144253338
volleyball,479245314
hockey,481188838
volleyball,514263414
athletics,91586935
athletics,905221839
athletics,77255925
extreme,996141322
boardgames,692248707
basketball,28624709
hockey,322201813
basketball,227716111
boardgames,471765201
hockey,327096529
football,398887933
volleyball,936964719
motosport,699833027
autosport,776303527
tennis,634162404
winter_sport,772796121
motosport,816073817
tennis,526861338
basketball,380447018
athletics,940142725
hockey,59719129
athletics,214726412
volleyball,876929904
motosport,245636707
athletics,65368622
volleyball,600193414
autosport,924260407
motosport,365447126
autosport,73983831
tennis,879836504
motosport,729232621
football,544316610
basketball,152217002
martial_arts,846289631
athletics,441983510
tennis,777388529
volleyball,219391807
tennis,217409812
volleyball,254914715
football,790179730
football,21334510
boardgames,143952121
autosport,982297104
boardgames,993849513
motosport,617827624
football,74652019
winter_sport,913398708
athletics,190676335
hockey,518838020
boardgames,699350627
basketball,173808905
volleyball,693946932
boardgames,472102715
martial_arts,793498528
martial_arts,927384902
autosport,854520310
autosport,776866709
basketball,445858313
football,558167517
tennis,353081737
autosport,786445913
motosport,496382632
tennis,629112306
hockey,681511514
tennis,958369610
tennis,556662305
autosport,217404121
hockey,59719129
hockey,940712208
football,788365527
tennis,457575911
hockey,159349224
winter_sport,222647821
athletics,900952227
extreme,621089234
boardgames,344085216
tennis,796343309
football,159445938
motosport,150043234
basketball,517149005
basketball,779384134
tennis,86404728
basketball,262649514
winter_sport,682654027
tennis,862074312
boardgames,699350627
athletics,825163019
athletics,970974136
winter_sport,222647821
boardgames,670060720
boardgames,65417518
basketball,770301717
winter_sport,65928915
autosport,916341617
martial_arts,139119238
boardgames,580901822
hockey,531280822
martial_arts,171939837
martial_arts,168872231
boardgames,692871434
esport,560090914
tennis,254489118
boardgames,999112505
autosport,322514905
tennis,923366304
volleyball,331906829
athletics,802298901
tennis,466949309
tennis,272409826
football,967849804
basketball,330691025
autosport,933474909
athletics,909448138
autosport,42587423
basketball,627428414
martial_arts,734377410
athletics,388066139
athletics,731046922
boardgames,661807414
boardgames,113480613
hockey,676822639
autosport,663177038
athletics,57043301
tennis,566255305
hockey,571488727
boardgames,132467624
motosport,7087528
motosport,263512315
tennis,874382204
basketball,199165412
extreme,752730414
football,744621104
martial_arts,295520434
tennis,682455124
motosport,559217017
basketball,265701307
tennis,731751516
athletics,310358223
athletics,358317602
autosport,703750536
boardgames,888914411
autosport,796339635
martial_arts,254358104
football,608008318
martial_arts,815640829
winter_sport,12747705
martial_arts,74450008
martial_arts,793498528
athletics,931808713
martial_arts,610608320
motosport,149638039
football,571068209
winter_sport,400318329
athletics,187165212
tennis,888762027
athletics,580543820
winter_sport,130535527
tennis,269499238
tennis,871940439
motosport,68735805
motosport,307052612
autosport,19561637
winter_sport,433288420
esport,108159118
basketball,614928806
tennis,883757433
winter_sport,484770022
winter_sport,92620918
athletics,734592127
tennis,262629904
extreme,947256910
esport,24664535
tennis,919523134
motosport,891334035
athletics,881759832
boardgames,214051407
winter_sport,986936309
athletics,443892630
motosport,791826507
football,662150224
winter_sport,76964307
extreme,52704700
winter_sport,433288420
martial_arts,397688731
autosport,463497816
tennis,683008120
athletics,581191034
football,217404121
autosport,122865219
motosport,593911217
football,51331403
tennis,713499939
tennis,980421624
football,648536421
athletics,604360123
boardgames,700486922
martial_arts,859264731
tennis,635515629
tennis,15535117
extreme,479143822
athletics,444009223
football,790179730
athletics,65274210
esport,544238018
athletics,975407827
hockey,753567210
hockey,821416534
basketball,966922207
motosport,949858220
volleyball,503286621
autosport,545066315
boardgames,840855229
tennis,36132108
motosport,631274828
tennis,334458011
tennis,340097918
winter_sport,955803014
volleyball,921213411
volleyball,928466623
athletics,510637726
esport,912791406
martial_arts,432727237
volleyball,717515711
esport,578692128
martial_arts,171939837
basketball,535511828
tennis,230468518
winter_sport,8589632
tennis,903672538
martial_arts,793498528
autosport,480925027
boardgames,300376018
boardgames,36876635
athletics,798486938
boardgames,471765201
extreme,76441934
volleyball,988322537
tennis,454649416
esport,252017522
esport,451105500
athletics,390954924
tennis,721281612
football,788365527
esport,474818525
esport,991670624
athletics,580543820
tennis,71917426
basketball,614928806
boardgames,670060720
autosport,300698829
volleyball,747366802
tennis,917918427
volleyball,956023416
volleyball,409341814
volleyball,735316620
basketball,74653939
winter_sport,243150312
athletics,900952227
athletics,82411206
volleyball,642570122
winter_sport,369462436
basketball,165536929
extreme,785209618
martial_arts,721591601
winter_sport,570896400
boardgames,24530913
autosport,473008422
volleyball,861991010
esport,731388718
volleyball,174120533
esport,987772401
martial_arts,927384902
tennis,323016022
basketball,199931007
tennis,29087925
tennis,920808639
hockey,77287639
football,967849804
tennis,157908500
volleyball,717515711
athletics,928004506
basketball,718701305
autosport,792993723
football,129054431
winter_sport,297310427
tennis,947275916
motosport,418888935
boardgames,718968334
volleyball,435847516
martial_arts,806134921
volleyball,653139422
basketball,771869717
motosport,609423004
hockey,742710000
football,970656307
autosport,837772112
tennis,994379631
athletics,724575310
esport,975711134
tennis,504068509
tennis,387687703
boardgames,396370424
athletics,91586935
autosport,903006510
tennis,128444506
autosport,358893334
boardgames,952343224
winter_sport,832060730
basketball,571717109
volleyball,435847516
athletics,623907520
extreme,13031436
basketball,806147614
hockey,923795413
tennis,15535117
basketball,704493238
basketball,890219039
autosport,884639615
hockey,447547920
winter_sport,991629126
volleyball,995968829
martial_arts,837175330
tennis,421893322
motosport,988414209
athletics,82411206
basketball,8591509
tennis,516878434
motosport,122842434
boardgames,853317727
hockey,944232732
autosport,476458720
athletics,376869817
motosport,609698935
athletics,720980602
tennis,11907137
hockey,347076136
tennis,894533034
tennis,180773232
volleyball,905970800
volleyball,10212412
basketball,685403029
martial_arts,193630610
basketball,950046422
hockey,459543124
tennis,792605429
winter_sport,586514133
volleyball,435066337
martial_arts,964964930
martial_arts,392205005
autosport,769467634
extreme,180428424
athletics,834921405
winter_sport,451097605
martial_arts,517514521
esport,881271230
autosport,776249712
motosport,445450828
tennis,628205320
athletics,120359629
volleyball,466833200
athletics,819414509
athletics,91586935
athletics,280458608
hockey,716233230
winter_sport,864087326
winter_sport,502752932
extreme,519393417
winter_sport,693769604
boardgames,236154734
football,952274232
motosport,965009518
athletics,424678830
athletics,325301301
boardgames,69883037
athletics,355869103
basketball,178587519
tennis,455866804
tennis,358259418
football,790179730
autosport,244140619
football,554603131
motosport,614327734
extreme,947256910
volleyball,174120533
football,761152130
winter_sport,186064128
autosport,502126414
tennis,157908500
martial_arts,917333836
boardgames,567968125
boardgames,589708636
motosport,663123629
football,160913325
tennis,683008120
basketball,71193028
motosport,666159635
extreme,76534706
tennis,923366304
martial_arts,87100822
tennis,428948204
volleyball,698363821
boardgames,823965717
basketball,737880515
martial_arts,789662714
motosport,640825236
volleyball,819163701
tennis,334458011
autosport,249356330
motosport,416747616
extreme,189795528
autosport,804591616
martial_arts,287890211
autosport,963404719
tennis,906862823
extreme,519393417
basketball,283158237
extreme,76534706
boardgames,913037318
tennis,672291907
extreme,865148516
hockey,120384031
hockey,944232732
basketball,779384134
basketball,737880515
martial_arts,451119206
winter_sport,438386826
hockey,831854927
winter_sport,68737418
boardgames,657781511
tennis,193979004
motosport,226571001
martial_arts,952424029
athletics,146326824
athletics,95038303
tennis,850390414
hockey,459543124
hockey,851180827
hockey,118342520
winter_sport,158241534
basketball,325238208
tennis,959856105
volleyball,991105434
autosport,786445913
hockey,347983522
hockey,285028136
motosport,128159832
athletics,110973925
athletics,580543820
tennis,919523134
martial_arts,882315308
football,697962815
tennis,291959212
hockey,735913215
martial_arts,642194214
tennis,356117301
boardgames,350292811
tennis,757687928
autosport,307712117
tennis,634162404
hockey,330126734
esport,490396703
autosport,353182908
esport,142013420
boardgames,589708636
volleyball,849288127
tennis,508170013
boardgames,182812727
martial_arts,336741517
martial_arts,988540723
basketball,139386623
autosport,92405418
autosport,942291028
athletics,645562129
volleyball,466833200
extreme,960682626
volleyball,456256906
autosport,795983000
autosport,611637936
volleyball,54310919
esport,474448617
autosport,729673830
martial_arts,336741517
autosport,795983000
tennis,421579134
motosport,704972525
motosport,606886336
tennis,217409812
boardgames,396370424
athletics,460819000
volleyball,930446319
tennis,269499238
athletics,542017229
motosport,433461909
esport,868970032
basketball,557730405
extreme,694176212
winter_sport,243150312
motosport,494399433
basketball,692130106
autosport,306441436
hockey,576585801
extreme,519393417
extreme,413670930
volleyball,974417010
motosport,949858220
football,169155022
football,708186121
hockey,9455401
winter_sport,26141003
autosport,518460505
athletics,241306824
boardgames,699350627
basketball,927852529
winter_sport,488107817
athletics,391708030
basketball,668998218
boardgames,38650222
extreme,210734516
athletics,686416229
motosport,762386331
basketball,332983824
motosport,814378832
boardgames,193966605
martial_arts,61071611
martial_arts,312888017
athletics,900952227
hockey,742321024
athletics,962542607
martial_arts,385573636
athletics,310358223
boardgames,415497137
basketball,182556512
tennis,917918427
tennis,731751516
esport,817402220
motosport,263512315
athletics,138687307
tennis,246280803
basketball,770301717
boardgames,973446521
athletics,706187615
martial_arts,918780108
tennis,185122614
volleyball,810648433
tennis,180773232
winter_sport,297310427
autosport,740126116
volleyball,696853732
martial_arts,193127539
motosport,814378832
hockey,576585801
hockey,334504900
volleyball,727131428
boardgames,799507205
football,734162904
boardgames,87645031
hockey,452717234
martial_arts,497113516
athletics,636382901
tennis,771189202
autosport,730777029
winter_sport,4695938
tennis,189713508
martial_arts,411869717
basketball,449803432
winter_sport,718004107
athletics,581191034
extreme,288320122
basketball,445858313
autosport,307712117
volleyball,972972609
tennis,980030133
autosport,661402108
hockey,573984210
extreme,134346222
athletics,57043301
boardgames,636606912
athletics,65274210
tennis,15535117
extreme,657828704
motosport,865581307
boardgames,548889408
football,757129532
autosport,796339635
football,61541309
basketball,584124420
winter_sport,380846012
tennis,111216229
hockey,518838020
martial_arts,793498528
football,491747007
martial_arts,356043123
tennis,323016022
autosport,188595930
basketball,921937508
motosport,758544537
volleyball,951144506
athletics,983658124
winter_sport,789732331
motosport,765370701
extreme,814396119
extreme,882959720
basketball,410422939
football,952274232
motosport,949858220
boardgames,580901822
winter_sport,222647821
athletics,112730017
tennis,254489118
martial_arts,287890211
tennis,39708933
martial_arts,170400932
tennis,11907137
esport,175684103
football,50755530
volleyball,456256906
motosport,39021409
basketball,468180423
volleyball,300238132
basketball,349384717
boardgames,65417518
extreme,16855822
hockey,752762421
motosport,517683527
autosport,629887000
esport,46365838
athletics,566933517
tennis,11907137
basketball,647940606
tennis,444234900
autosport,776866709
extreme,480246717
hockey,574447328
hockey,453489307
tennis,271439505
hockey,976274208
volleyball,215038522
winter_sport,203411104
motosport,316651621
autosport,801563116
athletics,597216810
hockey,202488729
basketball,3174332
volleyball,54313238
autosport,169782234
basketball,182556512
extreme,85587732
athletics,670818517
motosport,7087528
winter_sport,734063839
hockey,564030627
hockey,369621326
tennis,901046514
esport,889611806
athletics,723736924
tennis,735418021
extreme,752730414
esport,584644404
athletics,146326824
winter_sport,960208908
extreme,380924325
tennis,337485625
winter_sport,772796121
autosport,19561637
hockey,558547621
football,239478110
basketball,194604309
football,734162904
autosport,122865219
extreme,805759210
esport,889611806
winter_sport,773806324
tennis,769116238
volleyball,174120533
hockey,422072501
hockey,377362103
football,168326828
volleyball,406657330
extreme,821877603
basketball,261289836
martial_arts,273559404
athletics,931808713
athletics,576742906
esport,374161020
basketball,418496427
athletics,110567026
boardgames,898943337
hockey,129966125
volleyball,627689204
extreme,43776826
volleyball,697977732
volleyball,582387318
volleyball,235819036
motosport,710737629
athletics,110973925
motosport,329768819
volleyball,723177305
motosport,739394931
autosport,300585932
hockey,487808124
athletics,179271619
autosport,914507310
winter_sport,376260625
motosport,575808906
basketball,515163906
athletics,154620504
motosport,559217017
martial_arts,358793829
athletics,970974136
autosport,137256429
hockey,441420522
volleyball,54313238
martial_arts,712883511
athletics,106783719
boardgames,999112505
autosport,801563116
volleyball,717515711
tennis,995180722
boardgames,474628927
winter_sport,989301701
basketball,86963818
motosport,39021409
volleyball,439624909
martial_arts,29843836
tennis,214775512
extreme,607849319
basketball,381175229
volleyball,310271910
tennis,995180722
winter_sport,773806324
athletics,45918031
tennis,214775512
boardgames,188871818
basketball,67036910
basketball,4581701
esport,433545839
athletics,111852809
winter_sport,901695604
motosport,538422305
martial_arts,257838004
basketball,173808905
athletics,441983510
boardgames,199260030
volleyball,215038522
hockey,577746628
tennis,364130824
tennis,428948204
autosport,730777029
basketball,557730405
winter_sport,92620918
tennis,87954633
hockey,159826537
boardgames,120129717
extreme,621089234
boardgames,412580427
motosport,587551436
winter_sport,284265324
winter_sport,902512702
tennis,86404728
winter_sport,388651911
extreme,650371125
athletics,328610001
tennis,876416825
hockey,573474327
tennis,29087925
basketball,572692311
winter_sport,216195912
volleyball,268602925
winter_sport,734063839
winter_sport,598946537
volleyball,215529508
volleyball,641006713
boardgames,952343224
basketball,8591509
athletics,724575310
martial_arts,236809623
motosport,807286332
boardgames,839901317
martial_arts,29843836
boardgames,327734729
football,885137827
hockey,522310908
extreme,792960709
motosport,939038022
autosport,572303207
athletics,824729512
martial_arts,271744519
football,253865922
winter_sport,136458830
football,803373031
boardgames,570225132
athletics,57043301
athletics,325301301
basketball,629764426
extreme,3469228
athletics,536757720
basketball,299094039
martial_arts,185251920
autosport,696044911
athletics,681167633
autosport,217404121
winter_sport,877712607
athletics,441983510
basketball,571238225
boardgames,214051407
motosport,888442435
martial_arts,777001005
volleyball,415366032
autosport,875931726
tennis,759680207
hockey,676822639
extreme,362038305
tennis,757687928
martial_arts,411869717
volleyball,53073826
autosport,18474206
volleyball,454798730
volleyball,167479026
athletics,322842224
martial_arts,217629200
tennis,161038103
martial_arts,168326828
football,159445938
athletics,384245413
athletics,190676335
hockey,768730237
tennis,508170013
athletics,729848700
volleyball,167479026
tennis,839751918
volleyball,801282329
basketball,621582000
athletics,906965618
esport,681724533
athletics,95038303
tennis,157908500
basketball,615111916
autosport,963404719
tennis,788946507
motosport,739394931
motosport,325140231
boardgames,907707903
tennis,731751516
volleyball,909050028
hockey,992511734
extreme,686389628
athletics,536757720
esport,178335916
basketball,718936035
extreme,657828704
athletics,768689220
autosport,629887000
martial_arts,917333836
motosport,663123629
athletics,536757720
volleyball,820407333
motosport,329140217
athletics,996508807
martial_arts,596237319
martial_arts,354743016
hockey,742710000
tennis,987987031
autosport,1663817
winter_sport,369462436
motosport,433461909
winter_sport,129257723
athletics,358317602
basketball,770301717
athletics,536757720
martial_arts,571821239
winter_sport,682654027
extreme,411813121
motosport,872097518
martial_arts,611272716
basketball,806147614
motosport,810672125
motosport,689420739
basketball,265701307
motosport,123871733
tennis,722797307
extreme,901640937
autosport,737153530
athletics,299159823
basketball,732845834
basketball,316817634
motosport,137678818
basketball,713015830
hockey,159349224
boardgames,121036012
motosport,966648738
boardgames,573230204
motosport,720194726
boardgames,780437412
autosport,306441436
athletics,824729512
tennis,923366304
extreme,335696332
football,885137827
